id,name,email,twitter,group,area,chamber,start_date,end_date
28,Choida Jamtsho,jamtshoc@nab.gov.bt,,Druk Phuensum Tshogpa,Nganglam,National Assembly,2013-07-13,""
16,Dawa Gyaltshen,dgyaltshen@nab.gov.bt,,People's Democratic Party,Bongo Chapchha,National Assembly,2013-07-13,""
26,Dechen Zangmo,dzangmo@nab.gov.bt,,Druk Phuensum Tshogpa,Nanong Shumar,National Assembly,2013-11-09,""
29,Dophu Dukpa,ddukpa@nab.gov.bt,,People's Democratic Party,Kabisa Talog,National Assembly,2013-07-13,""
47,Dorji Wangdi,dwangdi@nab.gov.bt,,Druk Phuensum Tshogpa,Panbang,National Assembly,2013-07-13,""
13,Dr. Pema Gyamtsho,ol@nab.gov.bt,,Druk Phuensum Tshogpa,Chhoekhor Tang,National Assembly,2013-07-13,""
40,Dupthob,dupthob@nab.gov.bt,,Druk Phuensum Tshogpa,Boomdeling Jamkhar,National Assembly,2013-07-13,""
48,Dy. Speaker Chimi Dorji,cdorji@nab.gov.bt,,People's Democratic Party,Lingmukha Toedwang,National Assembly,2013-07-13,""
34,Gopal Gurung,ggurung@nab.gov.bt,,People's Democratic Party,Gelegphu,National Assembly,2013-07-13,""
38,Jigme Wangchuk,jwangchuk@nab.gov.bt,,Druk Phuensum Tshogpa,Radhi Sagteng,National Assembly,2013-07-13,""
18,Karma Dorji,kdorji@nab.gov.bt,,People's Democratic Party,Drukjeygang Tseza,National Assembly,2013-07-13,""
21,Karma Rangdol,krangdol@nab.gov.bt,,Druk Phuensum Tshogpa,Gangzur Minjey,National Assembly,2013-07-13,""
39,Karma Tenzin,ktenzin@nab.gov.bt,,People's Democratic Party,Wamrong,National Assembly,2013-07-13,""
24,Kezang Wangmo,kezangd@nab.gov.bt,,People's Democratic Party,Dokar Sharpa,National Assembly,2013-07-13,""
25,Khandu Wangchuk,kwangchuk@nab.gov.bt,,Druk Phuensum Tshogpa,Lamgong Wangchang,National Assembly,2013-07-13,""
35,Kinga Tshering,ktshering@nab.gov.bt,,Druk Phuensum Tshogpa,North Thimphu,National Assembly,2013-07-13,""
20,Kinley Om,kom@nab.gov.bt,,People's Democratic Party,Bji Kar Tshog Uesu,National Assembly,2013-07-13,""
45,Kuenga,kuenga@nab.gov.bt,,People's Democratic Party,Nyishog Saephu,National Assembly,2013-07-13,""
46,Lekey Dorji,lekeydorji@nab.gov.bt,,People's Democratic Party,Bardo Trong,National Assembly,2013-07-13,""
1,Lyonchhen Tshering Tobgay,pm@nab.gov.bt,,People's Democratic Party,Sombaykha,National Assembly,2013-07-13,""
3,Lyonpo Damcho Dorji,mohca@nab.gov.bt,,People's Democratic Party,Khatoed Laya,National Assembly,2013-07-13,""
10,Lyonpo Dina Nath Dhungyel,moic@nab.gov.bt,,People's Democratic Party,Phuentshogpelri Samtse,National Assembly,2013-07-13,""
4,Lyonpo Dorji Choden,mowhs@nab.gov.bt,,People's Democratic Party,Thrimshing,National Assembly,2013-07-13,""
2,Lyonpo Jigme Zangpo,speaker@nab.gov.bt,,People's Democratic Party,Monggar,National Assembly,2013-07-13,""
5,Lyonpo Mingbo Dukpa,moe@nab.gov.bt,,People's Democratic Party,Dewathang Gomdar,National Assembly,2013-07-13,""
9,Lyonpo Namgay Dorji,moh@nab.gov.bt,,People's Democratic Party,Draagteng Langthil,National Assembly,2013-07-13,""
7,Lyonpo Ngeema Sangay Tshempo,molhr@nab.gov.bt,,People's Democratic Party,Lhamoi Dzingkha Tashiding,National Assembly,2013-07-13,""
11,Lyonpo Norbu Wangchuk,moea@nab.gov.bt,,People's Democratic Party,Kanglung Samkhar Udzorong,National Assembly,2013-07-13,""
6,Lyonpo Rinzin Dorji,mofa@nab.gov.bt,,People's Democratic Party,Shompangkha,National Assembly,2013-07-13,""
8,Lyonpo Tandin Wangchuk,moh@nab.gov.bt,,People's Democratic Party,Athang Thedtsho,National Assembly,2013-07-13,""
12,Lyonpo Yeshey Dorji,moaf@nab.gov.bt,,People's Democratic Party,Maenbi Tsaenkhar,National Assembly,2013-07-13,""
33,Madan Kumar Chhetri,mkchhetri@nab.gov.bt,,People's Democratic Party,Ugyentse Yoeseltse,National Assembly,2013-07-13,""
42,Nidup Zangpo,nzangpo@nab.gov.bt,,Druk Phuensum Tshogpa,Nubi Tangsibji,National Assembly,2013-07-13,""
44,Novin Darlami,ndarlami@nab.gov.bt,,People's Democratic Party,Sergithang Tsirang Toed,National Assembly,2013-07-13,""
30,Pelzang Wangchuk,pwangchuk@nab.gov.bt,,People's Democratic Party,Jomotshangkha Martshala,National Assembly,2013-07-13,""
19,Pema Drukpa,pdrukpa@nab.gov.bt,,People's Democratic Party,Khamaed Lunana,National Assembly,2013-07-13,""
17,Rinzin Dorji,rdorji@nab.gov.bt,,People's Democratic Party,Phuentshogling,National Assembly,2013-07-13,""
23,Rinzin Jamtsho,rgamtsho@nab.gov.bt,,Druk Phuensum Tshogpa,Kengkhar Weringla,National Assembly,2013-07-13,""
32,Ritu Raj Chhetri,rrchhetri@nab.gov.bt,,People's Democratic Party,Tashichhoeling,National Assembly,2013-07-13,""
41,Sonam Dondup Dorjee,sddorjee@nab.gov.bt,,People's Democratic Party,Khamdang Ramjar,National Assembly,2013-07-13,""
31,Tek Bahadur Subba,tksubba@nab.gov.bt,,People's Democratic Party,Dophuchen Tading,National Assembly,2013-07-13,""
15,Tshewang Jurmi,tjurmi@nab.gov.bt,,People's Democratic Party,Chhumig Ura,National Assembly,2013-07-13,""
22,Ugyen Wangdi,ugyenw2012@nab.gov.bt,,Druk Phuensum Tshogpa,Dramedtse Ngatshang,National Assembly,2013-07-13,""
37,Wangdi Norbu,wnorbu@nab.gov.bt,,Druk Phuensum Tshogpa,Bartsham Shongphu,National Assembly,2013-07-13,""
36,Yeshey Zimba,yzimba@nab.gov.bt,,Druk Phuensum Tshogpa,South Thimphu,National Assembly,2013-07-13,""
43,Yogesh Tamang,ytamang@nab.gov.bt,,People's Democratic Party,Kilkhorthang Mendrelgang,National Assembly,2013-07-13,""
27,Zangley Dukpa,zdukpa@nab.gov.bt,,Druk Phuensum Tshogpa,Khar Yurung,National Assembly,2013-07-13,""
